round_number,unit_id,unit_text,theme,code,scope,start_offset,end_offset,quote,adjudication_status,note,resolved_by,updated_at
1,00fad48d-a853-4fff-bab7-288ea51031f0::1,F-slur,Type of offensiveness,Hate speech and offensive language,unit,,,,resolved,,subham,Mon Sep 07 2026 21:04:23 GMT+0000 (Coordinated Universal Time)
1,00fad48d-a853-4fff-bab7-288ea51031f0::5,No reason to suspend,Type of offensiveness,No offensive content,span,0,20,No reason to suspend,resolved,,subham,Mon Sep 07 2026 20:48:30 GMT+0000 (Coordinated Universal Time)
1,01aad1a0-5ec4-4a9b-a571-a2880a1476be::4,Nothing offensive. The user is just expressing positive emotions. The first message wasn't offensive-- they are setting boundaries.,Type of offensiveness,No offensive content,span,0,17,Nothing offensive,resolved,,subham,Mon Sep 07 2026 21:04:18 GMT+0000 (Coordinated Universal Time)
1,01aad1a0-5ec4-4a9b-a571-a2880a1476be::4,Nothing offensive. The user is just expressing positive emotions. The first message wasn't offensive-- they are setting boundaries.,,positive content,span,19,65,The user is just expressing positive emotions.,resolved,,subham,Mon Sep 07 2026 21:04:18 GMT+0000 (Coordinated Universal Time)
1,026448b8-5620-4d5c-9b2e-863b792e9fbf::2,this means to harm a person,Type of offensiveness,Harm other person,unit,,,,resolved,,subham,Mon Sep 07 2026 21:03:34 GMT+0000 (Coordinated Universal Time)
1,026448b8-5620-4d5c-9b2e-863b792e9fbf::2,this means to harm a person,Type of offensiveness,Threats of violence,span,0,27,this means to harm a person,resolved,,subham,Mon Sep 07 2026 21:03:34 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Patterns of behavior,one message is enough (offensive),span,0,80,This account is a case of one message being enough to suspend the entire account,resolved,,subham,Mon Sep 07 2026 21:04:51 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Type of offensiveness,Threats of violence,span,82,116,They made a threat towards someone,resolved,,subham,Mon Sep 07 2026 21:04:51 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Type of offensiveness,derogatory remarks,span,121,159,used derogatory language towards them.,resolved,,subham,Mon Sep 07 2026 21:04:51 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Patterns of behavior,one message is enough (offensive),span,160,248,"In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",resolved,,subham,Mon Sep 07 2026 21:04:51 GMT+0000 (Coordinated Universal Time)
